+--------+-----------------+------------+
| rel_id |     tag_key     |  tag_val   |
+--------+-----------------+------------+
| 16709  | building        | school     |
| 16709  | building:levels | 4          |
| 36980  | building        | yes        |
| 36980  | building:levels | 3          |
| 37846  | building        | school     |
| 37846  | building:levels | 3          |
| 38105  | building        | yes        |
| 38105  | building:levels | 5          |
| 48572  | building        | school     |
| 48572  | building:levels | 3          |
| 49112  | building        | school     |
| 49112  | building:levels | 3          |
| 51497  | building        | public     |
| 51497  | building:levels | 2          |
| 52051  | building        | school     |
| 52051  | building:levels | 3          |
| 53500  | building        | yes        |
| 53515  | building        | school     |
| 53515  | building:levels | 3          |
| 55214  | building        | public     |
| 55214  | building:levels | 8          |
| 55312  | building        | university |
| 55312  | building:levels | 3          |
| 56340  | building        | yes        |
| 56553  | building        | commercial |
| 57632  | building        | yes        |
| 57729  | building        | public     |
| 57729  | building:levels | 10         |
| 57907  | building        | school     |
| 57910  | building        | school     |
| 57910  | building:levels | 3          |
| 57911  | building        | school     |
| 57911  | building:levels | 3          |
| 57912  | building        | school     |
| 57912  | building:levels | 3          |
| 57913  | building        | school     |
| 57913  | building:levels | 3          |
| 58174  | building        | apartments |
| 58174  | building:levels | 10         |
| 59430  | building        | yes        |
| 60245  | building        | commercial |
| 60860  | building        | yes        |
| 60860  | building:levels | 3          |
| 61049  | building        | hospital   |
| 61250  | building        | school     |
| 61250  | building:levels | 3          |
| 61467  | building        | yes        |
| 62986  | building        | school     |
| 62986  | building:levels | 3          |
| 62987  | building        | school     |
| 62987  | building:levels | 3          |
| 64496  | building        | yes        |
| 64997  | building        | yes        |
| 64997  | building:levels | 5          |
| 66318  | building        | school     |
| 66318  | building:levels | 3          |
| 66913  | building        | yes        |
| 66913  | building:levels | 4          |
| 67684  | building        | school     |
| 67684  | building:levels | 3          |
| 69858  | building        | school     |
| 69858  | building:levels | 3          |
| 69968  | building        | yes        |
| 69968  | building:levels | 3          |
| 70687  | building        | school     |
| 70851  | building        | school     |
| 70851  | building:levels | 3          |
| 70852  | building        | school     |
| 70852  | building:levels | 3          |
| 70854  | building        | school     |
| 70854  | building:levels | 3          |
| 70856  | building        | school     |
| 70856  | building:levels | 3          |
| 70857  | building        | school     |
| 70857  | building:levels | 3          |
| 71363  | building        | school     |
| 71363  | building:levels | 3          |
| 77484  | building        | yes        |
| 81937  | building        | school     |
| 81937  | building:levels | 3          |
| 81938  | building        | college    |
| 81938  | building:levels | 4          |
| 84844  | building        | apartments |
| 84844  | building:levels | 5          |
| 85638  | building        | apartments |
| 85639  | building        | office     |
| 85639  | building:levels | 5          |
| 85760  | building        | office     |
| 85760  | building:levels | 3          |
| 85761  | building        | yes        |
| 85761  | building:levels | 5          |
| 85762  | building        | yes        |
| 85762  | building:levels | 3          |
| 85763  | building        | office     |
| 85763  | building:levels | 6          |
| 86444  | building        | yes        |
| 87116  | building        | apartments |
| 87116  | building:levels | 4          |
| 87117  | building        | school     |
| 87117  | building:levels | 5          |
| 87118  | building        | apartments |
| 87118  | building:levels | 6          |
| 88501  | building        | apartments |
| 88501  | building:levels | 5          |
| 89983  | building        | yes        |
| 89983  | building:levels | 7          |
| 91912  | building        | apartments |
| 91912  | building:levels | 4          |
| 92987  | building        | clinic     |
| 92987  | building:levels | 6          |
| 96767  | building        | office     |
| 107124 | building        | office     |
| 107124 | building:levels | 5          |
| 107346 | building        | yes        |
| 107346 | building:levels | 3          |
| 110152 | building        | apartments |
| 133621 | building        | apartments |
| 133621 | building:levels | 7          |
| 133947 | building        | yes        |
| 133949 | building        | school     |
| 133949 | building:levels | 4          |
| 133955 | building        | school     |
| 133955 | building:levels | 3          |
| 133989 | building        | school     |
| 133989 | building:levels | 3          |
| 134008 | building        | school     |
| 134008 | building:levels | 3          |
| 139205 | building        | yes        |
| 146827 | building        | commercial |
| 146827 | building:levels | 1          |
| 146954 | building        | yes        |
| 148046 | building        | school     |
| 148046 | building:levels | 3          |
| 149242 | building        | office     |
| 149242 | building:levels | 7          |
| 149243 | building        | yes        |
| 149243 | building:levels | 3          |
| 149244 | building        | office     |
| 153792 | building        | office     |
| 153792 | building:levels | 22         |
| 157750 | building        | school     |
| 157750 | building:levels | 3          |
| 157751 | building        | yes        |
| 157751 | building:levels | 4          |
| 157752 | building        | school     |
| 157752 | building:levels | 3          |
| 157755 | building        | school     |
| 158491 | building        | school     |
| 158491 | building:levels | 3          |
| 161625 | building        | yes        |
+--------+-----------------+------------+
