+----------+-----------------+---------------+
|  way_id  |     tag_key     |    tag_val    |
+----------+-----------------+---------------+
| 22882470 | building        | retail        |
| 22882470 | building:levels | 2             |
| 22942462 | building        | yes           |
| 22942462 | building:levels | 3             |
| 23056826 | building        | store         |
| 23056826 | building:levels | 2             |
| 23062240 | building        | school        |
| 23062240 | building:levels | 4             |
| 23062460 | building        | yes           |
| 23062460 | building:levels | 1             |
| 23062517 | building        | apartments    |
| 23062517 | building:levels | 9             |
| 23062522 | building        | apartments    |
| 23062522 | building:levels | 9             |
| 23062589 | building        | apartments    |
| 23062589 | building:levels | 9             |
| 23062598 | building        | apartments    |
| 23062598 | building:levels | 9             |
| 23062615 | building        | apartments    |
| 23062615 | building:levels | 9             |
| 23062622 | building        | apartments    |
| 23062622 | building:levels | 9             |
| 23064322 | building        | apartments    |
| 23064322 | building:levels | 9             |
| 23091862 | building        | apartments    |
| 23091862 | building:levels | 5             |
| 23091879 | building        | apartments    |
| 23091879 | building:levels | 5             |
| 23091894 | building        | apartments    |
| 23091894 | building:levels | 5             |
| 23108608 | building        | yes           |
| 23108608 | building:levels | 1             |
| 23108615 | building:levels | 2             |
| 23108617 | building        | apartments    |
| 23108617 | building:levels | 22            |
| 23108624 | building        | apartments    |
| 23108624 | building:levels | 17            |
| 23108982 | building:levels | 12            |
| 23108992 | building:levels | 12            |
| 23108993 | building:levels | 12            |
| 23108996 | building:levels | 12            |
| 23108997 | building        | apartments    |
| 23108997 | building:levels | 16            |
| 23108999 | building        | apartments    |
| 23108999 | building:levels | 16            |
| 23109000 | building        | apartments    |
| 23109000 | building:levels | 16            |
| 23109005 | building        | apartments    |
| 23109005 | building:levels | 16            |
| 23109017 | building        | apartments    |
| 23109017 | building:levels | 5             |
| 23109019 | building        | apartments    |
| 23109019 | building:levels | 5             |
| 23109020 | building        | apartments    |
| 23109020 | building:levels | 5             |
| 23116559 | building        | retail        |
| 23116559 | building:levels | 3             |
| 23116785 | building:levels | 12            |
| 23116792 | building        | apartments    |
| 23116792 | building:levels | 12            |
| 23124502 | building        | yes           |
| 23124502 | building:levels | 1             |
| 23146719 | building        | yes           |
| 23161469 | building        | yes           |
| 23161469 | building:levels | 1             |
| 23161470 | building        | yes           |
| 23161470 | building:levels | 6             |
| 23168935 | building        | office        |
| 23168935 | building:levels | 3             |
| 23168936 | building        | yes           |
| 23168936 | building:levels | 3             |
| 23170454 | building        | retail        |
| 23170454 | building:levels | 3             |
| 23170575 | building:levels | 4             |
| 23170576 | building:levels | 2             |
| 23173813 | building        | sports_centre |
| 23173813 | building:levels | 2             |
| 23229355 | building        | apartments    |
| 23229355 | building:levels | 12            |
| 23229376 | building        | apartments    |
| 23229376 | building:levels | 5             |
| 23229383 | building        | apartments    |
| 23229383 | building:levels | 5             |
| 23229401 | building        | apartments    |
| 23229401 | building:levels | 5             |
| 23229410 | building        | apartments    |
| 23229410 | building:levels | 12            |
| 23229414 | building        | yes           |
| 23242352 | building        | apartments    |
| 23242352 | building:levels | 17            |
| 23242381 | building        | apartments    |
| 23242381 | building:levels | 17            |
| 23242387 | building        | apartments    |
| 23242387 | building:levels | 17            |
| 23242391 | building        | apartments    |
| 23242391 | building:levels | 17            |
| 23242395 | building        | yes           |
| 23242395 | building:levels | 6             |
| 23242401 | building        | construction  |
| 23242401 | building:levels | 4             |
| 23242410 | building        | apartments    |
| 23242410 | building:levels | 14            |
| 23242427 | building:levels | 17            |
| 23242428 | building        | apartments    |
| 23242428 | building:levels | 14            |
| 23242433 | building        | apartments    |
| 23242433 | building:levels | 14            |
| 23242445 | building        | yes           |
| 23242445 | building:levels | 3             |
| 23242461 | building        | apartments    |
| 23242461 | building:levels | 5             |
| 23242463 | building        | apartments    |
| 23242463 | building:levels | 5             |
| 23242465 | building        | apartments    |
| 23242465 | building:levels | 5             |
| 23242468 | building        | apartments    |
| 23242468 | building:levels | 5             |
| 23242470 | building        | apartments    |
| 23242470 | building:levels | 5             |
| 23242473 | building        | apartments    |
| 23242473 | building:levels | 5             |
| 23242474 | building        | apartments    |
| 23242474 | building:levels | 5             |
| 23242476 | building        | apartments    |
| 23242476 | building:levels | 9             |
| 23242478 | building        | apartments    |
| 23242478 | building:levels | 8             |
| 23242480 | building        | apartments    |
| 23242480 | building:levels | 8             |
| 23242482 | building        | apartments    |
| 23242482 | building:levels | 5             |
| 23242487 | building        | apartments    |
| 23242487 | building:levels | 12            |
| 23242492 | building:levels | 12            |
| 23242494 | building:levels | 12            |
| 23242495 | building        | apartments    |
| 23242495 | building:levels | 12            |
| 23242496 | building:levels | 12            |
| 23242497 | building        | apartments    |
| 23242497 | building:levels | 12            |
| 23242509 | building        | apartments    |
| 23242509 | building:levels | 12            |
| 23242531 | building        | apartments    |
| 23242531 | building:levels | 9             |
| 23242534 | building        | apartments    |
| 23242534 | building:levels | 9             |
| 23242536 | building        | apartments    |
| 23242536 | building:levels | 12            |
| 23242538 | building        | apartments    |
| 23242538 | building:levels | 12            |
+----------+-----------------+---------------+
