,id,city,street,housenumber,levels
0,23372067,Москва,Крутицкая набережная,5,9
1,23372104,Москва,1-я Дубровская улица,8/12,9
2,23372105,,1-я Дубровская улица,8А,6
3,23372106,,улица Симоновский Вал,9,8
4,23372107,,улица Симоновский Вал,7 к1,9
5,23372108,,улица Симоновский Вал,7 к2,9
6,23372109,,улица Крутицкий Вал,3,12
7,23372110,,улица Крутицкий Вал,3 к2,12
8,23372111,Москва,1-я Дубровская улица,2Б к1,9
9,23372114,Москва,1-я Дубровская улица,2,5
10,23372119,Москва,1-я Дубровская улица,1А,5
11,23372124,,улица Симоновский Вал,8,9
12,23372126,,Арбатецкая улица,2 с1,4
13,23413344,,3-й Крутицкий переулок,15,9
14,23414447,,3-й Крутицкий переулок,13 с2,1
15,23414496,,3-й Крутицкий переулок,18,2
16,23414592,,улица Крутицкий Вал,26 с2,8
17,23414615,Москва,4-й Крутицкий переулок,10 с1,4
18,25912320,,проспект Будённого,,1
19,25912383,Москва,Семёновская площадь,5,3
20,27426806,,Перовская улица,7 к1,5
21,27426809,,Перовская улица,5,5
22,27427025,Москва,1-я Дубровская улица,3,5
23,27427275,,Перовская улица,38 к3,5
24,27427283,,улица Лазо,3,4
25,27487014,Москва,1-я Дубровская улица,5,4
26,27555406,Москва,2-я Дубровская улица,6,4
27,27555492,Москва,Волгоградский проспект,6,17
28,27555499,Москва,Волгоградский проспект,4,17
29,27555502,Москва,1-я Дубровская улица,1 к2,17
30,27555522,Москва,1-я Дубровская улица,1 к1,17
31,27555530,Москва,Волгоградский проспект,2,16
32,27555550,Москва,Волгоградский проспект,8,8
33,27555736,Москва,Малая Калитниковская улица,20 к2,9
34,27558011,Москва,улица Земляной Вал,26,1
35,27560557,Москва,1-я Дубровская улица,4,5
36,27563721,Москва,2-я Дубровская улица,8,6
37,27563729,Москва,1-я Дубровская улица,7/10,4
38,27563736,,1-я Дубровская улица,5А,4
39,27566774,Москва,улица Земляной Вал,33,4
40,27575641,Москва,2-я Дубровская улица,1,5
41,27575712,Москва,Большой Симоновский проезд,11,12
42,27575787,Москва,1-я Дубровская улица,6,6
43,27576034,Москва,Новорязанская улица,2/7,6
44,27576037,Москва,Новорязанская улица,4,3
45,27577538,Москва,Волгоградский проспект,4А,2
46,27660186,,Рязанский проспект,45 к1,6
47,27660194,,Рязанский проспект,41/2,5
48,27705815,Москва,улица Земляной Вал,24/32,8
49,27730136,Москва,Волгоградский проспект,16,8
50,27752791,Москва,Скотопрогонная улица,27/26 с1,6
51,28226874,Москва,улица Земляной Вал,7,4
52,28226925,Москва,Путейский тупик,6,12
53,28226980,,улица Покровка,47,2
54,28258915,Москва,улица Земляной Вал,34 с3А,6
55,28449961,Москва,Семёновская набережная,3/1 к4,10
56,28450053,Москва,Рубцовская набережная,2/18,12
57,28522830,,улица Буракова,13,5
