index,id,levels,lat,lon
0,23372067,9,55.7271623,37.6583997
1,23372067,9,55.7272379,37.6582100
3,23372067,9,55.7269550,37.6581392
4,23372067,9,55.7271623,37.6583997
5,23372104,9,55.7265459,37.6680212
6,23372104,9,55.7266069,37.6690521
7,23372104,9,55.7266445,37.6690897
8,23372104,9,55.7270085,37.6688475
9,23372104,9,55.7270180,37.6688794
10,23372104,9,55.7270945,37.6688358
11,23372104,9,55.7270954,37.6688039
12,23372104,9,55.7271536,37.6687584
13,23372104,9,55.7271224,37.6686036
14,23372104,9,55.7270123,37.6686764
15,23372104,9,55.7269367,37.6687250
16,23372104,9,55.7269320,37.6687066
17,23372104,9,55.7267611,37.6688264
18,23372104,9,55.7266870,37.6687648
19,23372104,9,55.7266759,37.6685321
20,23372104,9,55.7266938,37.6685321
21,23372104,9,55.7266950,37.6684781
22,23372104,9,55.7267959,37.6684566
23,23372104,9,55.7268025,37.6684918
24,23372104,9,55.7268550,37.6684853
25,23372104,9,55.7268444,37.6682374
26,23372104,9,55.7266813,37.6682697
27,23372104,9,55.7266622,37.6679940
28,23372104,9,55.7265459,37.6680212
29,23372105,6,55.7265614,37.6684199
30,23372105,6,55.7265537,37.6683925
31,23372105,6,55.7265253,37.6683932
32,23372105,6,55.7265185,37.6683100
33,23372105,6,55.7265472,37.6683027
34,23372105,6,55.7265478,37.6682587
35,23372105,6,55.7267101,37.6682152
36,23372105,6,55.7267074,37.6682322
37,23372105,6,55.7270606,37.6681593
38,23372105,6,55.7270578,37.6681301
39,23372105,6,55.7272061,37.6681028
40,23372105,6,55.7272150,37.6682618
41,23372105,6,55.7270715,37.6682881
42,23372105,6,55.7270715,37.6683295
43,23372105,6,55.7267074,37.6684121
44,23372105,6,55.7267047,37.6683854
45,23372105,6,55.7265614,37.6684199
46,23372106,8,55.7260804,37.6633730
47,23372106,8,55.7260788,37.6635949
48,23372106,8,55.7270598,37.6636165
49,23372106,8,55.7270613,37.6633946
50,23372106,8,55.7260804,37.6633730
51,23372107,9,55.7277288,37.6635453
52,23372107,9,55.7277272,37.6637425
53,23372107,9,55.7278340,37.6637452
54,23372107,9,55.7280039,37.6637495
55,23372107,9,55.7281610,37.6637535
56,23372107,9,55.7283453,37.6637581
57,23372107,9,55.7284865,37.6637617
58,23372107,9,55.7286549,37.6637660
59,23372107,9,55.7288385,37.6637706
60,23372107,9,55.7290137,37.6637751
61,23372107,9,55.7290707,37.6637765
62,23372107,9,55.7290723,37.6635793
63,23372107,9,55.7277288,37.6635453
64,23372108,9,55.7277251,37.6647901
65,23372108,9,55.7277230,37.6649728
66,23372108,9,55.7290585,37.6650201
67,23372108,9,55.7290605,37.6648375
68,23372108,9,55.7277251,37.6647901
69,23372109,12,55.7296778,37.6624808
70,23372109,12,55.7296297,37.6626912
71,23372109,12,55.7298086,37.6628203
72,23372109,12,55.7301363,37.6630566
73,23372109,12,55.7304684,37.6632962
74,23372109,12,55.7307454,37.6634960
75,23372109,12,55.7307765,37.6635185
76,23372109,12,55.7311131,37.6637613
77,23372109,12,55.7314267,37.6639875
78,23372109,12,55.7315665,37.6640884
79,23372109,12,55.7316146,37.6638780
80,23372109,12,55.7307961,37.6632875
81,23372109,12,55.7296778,37.6624808
82,23372110,12,55.7310207,37.6657941
83,23372110,12,55.7316408,37.6652858
84,23372110,12,55.7315850,37.6650710
85,23372110,12,55.7309649,37.6655793
86,23372110,12,55.7310207,37.6657941
87,23372111,9,55.7297069,37.6670050
88,23372111,9,55.7304718,37.6663777
89,23372111,9,55.7304227,37.6661888
90,23372111,9,55.7303361,37.6662598
91,23372111,9,55.7302068,37.6663659
92,23372111,9,55.7300573,37.6664885
93,23372111,9,55.7299125,37.6666072
94,23372111,9,55.7297585,37.6667335
95,23372111,9,55.7296578,37.6668161
96,23372111,9,55.7297069,37.6670050
97,23372114,5,55.7285539,37.6681600
98,23372114,5,55.7291595,37.6677786
99,23372114,5,55.7291239,37.6676000
100,23372114,5,55.7290556,37.6676431
101,23372114,5,55.7289030,37.6677391
102,23372114,5,55.7287447,37.6678388
103,23372114,5,55.7286024,37.6679284
104,23372114,5,55.7285182,37.6679814
105,23372114,5,55.7285539,37.6681600
106,23372119,5,55.7293478,37.6687436
107,23372119,5,55.7292355,37.6688087
108,23372119,5,55.7291984,37.6686039
109,23372119,5,55.7287713,37.6688454
110,23372119,5,55.7288047,37.6690412
111,23372119,5,55.7286917,37.6691243
112,23372119,5,55.7286451,37.6688826
113,23372119,5,55.7286958,37.6686746
114,23372119,5,55.7291847,37.6683917
115,23372119,5,55.7292957,37.6684751
116,23372119,5,55.7293478,37.6687436
117,23372124,9,55.7267499,37.6597495
118,23372124,9,55.7266704,37.6598848
119,23372124,9,55.7272797,37.6609588
120,23372124,9,55.7273575,37.6608123
121,23372124,9,55.7267499,37.6597495
122,23372126,4,55.7277407,37.6616433
123,23372126,4,55.7281951,37.6616564
124,23372126,4,55.7281974,37.6614076
125,23372126,4,55.7277430,37.6613945
126,23372126,4,55.7277407,37.6616433
127,23413344,9,55.7310779,37.6602437
128,23413344,9,55.7311143,37.6603854
129,23413344,9,55.7312081,37.6607578
130,23413344,9,55.7312831,37.6610412
131,23413344,9,55.7311848,37.6611337
132,23413344,9,55.7310418,37.6605954
133,23413344,9,55.7309680,37.6603263
134,23413344,9,55.7310779,37.6602437
135,23414447,1,55.7309985,37.6649008
136,23414447,1,55.7309544,37.6646973
137,23414447,1,55.7309787,37.6646745
138,23414447,1,55.7309525,37.6645484
139,23414447,1,55.7309787,37.6645293
140,23414447,1,55.7309642,37.6644602
141,23414447,1,55.7309929,37.6644391
142,23414447,1,55.7309817,37.6643848
143,23414447,1,55.7309967,37.6643704
144,23414447,1,55.7309708,37.6642420
145,23414447,1,55.7309910,37.6641930
146,23414447,1,55.7310588,37.6642614
147,23414447,1,55.7310961,37.6644398
148,23414447,1,55.7310924,37.6644465
149,23414447,1,55.7311063,37.6645008
150,23414447,1,55.7311245,37.6644861
151,23414447,1,55.7311566,37.6646175
152,23414447,1,55.7311347,37.6646329
153,23414447,1,55.7312206,37.6650148
154,23414447,1,55.7311488,37.6650611
155,23414447,1,55.7311252,37.6649601
156,23414447,1,55.7310928,37.6649789
157,23414447,1,55.7309985,37.6649008
158,23414496,2,55.7317648,37.6634497
159,23414496,2,55.7318045,37.6635853
160,23414496,2,55.7320097,37.6642859
161,23414496,2,55.7320349,37.6643720
162,23414496,2,55.7320790,37.6645226
163,23414496,2,55.7321580,37.6644409
164,23414496,2,55.7321126,37.6642962
165,23414496,2,55.7320854,37.6642096
166,23414496,2,55.7320597,37.6641278
167,23414496,2,55.7321563,37.6640420
168,23414496,2,55.7321418,37.6637587
169,23414496,2,55.7320742,37.6633553
170,23414496,2,55.7320113,37.6632008
171,23414496,2,55.7319493,37.6632634
172,23414496,2,55.7318739,37.6633395
173,23414496,2,55.7317648,37.6634497
174,23414592,8,55.7294314,37.6621874
175,23414592,8,55.7295639,37.6622955
176,23414592,8,55.7295714,37.6622668
177,23414592,8,55.7296650,37.6623432
178,23414592,8,55.7296586,37.6623677
179,23414592,8,55.7296841,37.6623886
180,23414592,8,55.7296427,37.6625478
181,23414592,8,55.7293911,37.6623425
182,23414592,8,55.7294314,37.6621874
183,23414615,4,55.7296138,37.6581294
184,23414615,4,55.7295159,37.6581981
185,23414615,4,55.7295356,37.6582866
186,23414615,4,55.7294399,37.6583538
187,23414615,4,55.7294745,37.6585091
188,23414615,4,55.7295053,37.6584874
189,23414615,4,55.7296045,37.6589329
190,23414615,4,55.7295819,37.6589487
191,23414615,4,55.7296136,37.6590909
192,23414615,4,55.7296874,37.6590390
193,23414615,4,55.7297072,37.6591279
194,23414615,4,55.7298174,37.6590505
195,23414615,4,55.7297596,37.6587909
196,23414615,4,55.7297047,37.6588295
197,23414615,4,55.7296132,37.6584185
198,23414615,4,55.7296694,37.6583790
199,23414615,4,55.7296138,37.6581294
200,25912320,1,55.7586286,37.7398473
201,25912320,1,55.7590670,37.7412862
202,25912320,1,55.7584193,37.7419094
203,25912320,1,55.7579809,37.7404705
204,25912320,1,55.7586286,37.7398473
205,25912383,3,55.7819986,37.7171374
206,25912383,3,55.7820298,37.7176699
207,25912383,3,55.7820470,37.7176667
208,25912383,3,55.7820511,37.7177370
209,25912383,3,55.7820340,37.7177402
210,25912383,3,55.7820364,37.7177822
211,25912383,3,55.7816926,37.7178459
212,25912383,3,55.7816548,37.7172011
213,25912383,3,55.7819986,37.7171374
214,27426806,5,55.7481009,37.7579827
215,27426806,5,55.7482166,37.7580081
216,27426806,5,55.7481319,37.7592231
217,27426806,5,55.7480163,37.7591977
218,27426806,5,55.7481009,37.7579827
219,27426809,5,55.7479860,37.7568052
220,27426809,5,55.7481415,37.7568377
221,27426809,5,55.7481304,37.7570050
222,27426809,5,55.7480948,37.7569975
223,27426809,5,55.7480504,37.7576663
224,27426809,5,55.7480969,37.7576761
225,27426809,5,55.7480840,37.7578710
226,27426809,5,55.7479175,37.7578361
227,27426809,5,55.7479860,37.7568052
228,27427025,5,55.7283945,37.6692681
229,27427025,5,55.7283428,37.6689997
230,27427025,5,55.7282498,37.6688997
231,27427025,5,55.7278113,37.6691734
232,27427025,5,55.7277580,37.6693273
233,27427025,5,55.7278255,37.6699470
234,27427025,5,55.7279378,37.6699101
235,27427025,5,55.7278797,37.6693819
236,27427025,5,55.7278922,37.6693338
237,27427025,5,55.7282227,37.6691376
238,27427025,5,55.7282475,37.6691660
239,27427025,5,55.7282810,37.6693284
240,27427025,5,55.7283945,37.6692681
241,27427275,5,55.7444735,37.7777598
242,27427275,5,55.7452700,37.7781367
243,27427275,5,55.7452359,37.7783640
244,27427275,5,55.7444395,37.7779871
245,27427275,5,55.7444735,37.7777598
246,27427283,4,55.7440657,37.7737275
247,27427283,4,55.7439764,37.7742363
248,27427283,4,55.7437608,37.7741168
249,27427283,4,55.7438501,37.7736080
250,27427283,4,55.7440657,37.7737275
251,27487014,4,55.7275342,37.6702504
252,27487014,4,55.7274476,37.6696319
253,27487014,4,55.7273309,37.6695303
254,27487014,4,55.7270173,37.6697471
